Date : 2025-03-05 19:08:08
Directory : d:\pkr_study\08-力扣\codes
Total : 292 files,  9106 codes, 2254 comments, 1659 blanks, all 13019 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\pkr_study\08-力扣\codes\a\a38-删除有序数组中的重复项.java                         | Java     |         23 |          6 |          2 |         31 |
| d:\pkr_study\08-力扣\codes\a\a39-多数元素.java                                | Java     |          7 |          3 |          4 |         14 |
| d:\pkr_study\08-力扣\codes\a\a40-罗马数字转整数.py                               | Python   |         60 |          0 |          3 |         63 |
| d:\pkr_study\08-力扣\codes\a\a41-最后一个单词的长度.py                             | Python   |          8 |          9 |          3 |         20 |
| d:\pkr_study\08-力扣\codes\a\a42-最长公共前缀.py                                | Python   |         23 |          3 |          6 |         32 |
| d:\pkr_study\08-力扣\codes\a\a43-找出字符串中第一个匹配项的下标.py                       | Python   |         29 |         16 |          9 |         54 |
| d:\pkr_study\08-力扣\codes\a\a44-验证回文串.py                                 | Python   |         26 |          4 |          5 |         35 |
| d:\pkr_study\08-力扣\codes\a\a45-判断子序列.py                                 | Python   |         22 |          5 |          5 |         32 |
| d:\pkr_study\08-力扣\codes\a\a46-环形链表.py                                  | Python   |         18 |          4 |          5 |         27 |
| d:\pkr_study\08-力扣\codes\a\a47-合并两个有序链表.py                              | Python   |         27 |          3 |          7 |         37 |
| d:\pkr_study\08-力扣\codes\a\a48-二叉树的最大深度.py                              | Python   |          9 |          6 |          1 |         16 |
| d:\pkr_study\08-力扣\codes\a\a49-相同的树.py                                  | Python   |         19 |          1 |          3 |         23 |
| d:\pkr_study\08-力扣\codes\a\a50-翻转二叉树.py                                 | Python   |         17 |          1 |          3 |         21 |
| d:\pkr_study\08-力扣\codes\a\a51-对称二叉树.py                                 | Python   |         20 |          1 |          4 |         25 |
| d:\pkr_study\08-力扣\codes\a\a52-路径总和.py                                  | Python   |         20 |          1 |          3 |         24 |
| d:\pkr_study\08-力扣\codes\a\a53-完全二叉树的节点个数.py                            | Python   |         26 |         11 |          6 |         43 |
| d:\pkr_study\08-力扣\codes\a\a54-赎金信.py                                   | Python   |         14 |          1 |          4 |         19 |
| d:\pkr_study\08-力扣\codes\a\a55-同构字符串.py                                 | Python   |         17 |          1 |          3 |         21 |
| d:\pkr_study\08-力扣\codes\a\a56-单词规律.py                                  | Python   |         26 |          1 |          3 |         30 |
| d:\pkr_study\08-力扣\codes\a\a57-有效的字母异位词.py                              | Python   |          9 |          1 |          3 |         13 |
| d:\pkr_study\08-力扣\codes\a\a58-两数之和.py                                  | Python   |         19 |          1 |          4 |         24 |
| d:\pkr_study\08-力扣\codes\a\a59-快乐数.py                                   | Python   |         23 |          1 |          3 |         27 |
| d:\pkr_study\08-力扣\codes\a\a60-存在重复元素II.py                              | Python   |         15 |          1 |          3 |         19 |
| d:\pkr_study\08-力扣\codes\a\a61-汇总区间.py                                  | Python   |         22 |          1 |          4 |         27 |
| d:\pkr_study\08-力扣\codes\a\a62-二叉树的层平均值.py                              | Python   |         30 |          2 |          4 |         36 |
| d:\pkr_study\08-力扣\codes\a\a63-有效的括号.py                                 | Python   |         23 |          1 |          1 |         25 |
| d:\pkr_study\08-力扣\codes\a\a64-二叉搜索树的最小绝对差.py                           | Python   |         25 |          2 |          4 |         31 |
| d:\pkr_study\08-力扣\codes\a\a65-将有序数组转换为二叉搜索树.java                       | Java     |         37 |          4 |          6 |         47 |
| d:\pkr_study\08-力扣\codes\a\a66-搜索插入位置.java                              | Java     |         16 |         18 |          1 |         35 |
| d:\pkr_study\08-力扣\codes\a\a67-二进制求和.java                               | Java     |         29 |          0 |          0 |         29 |
| d:\pkr_study\08-力扣\codes\a\a68-颠倒二进制位.java                              | Java     |         12 |          1 |          0 |         13 |
| d:\pkr_study\08-力扣\codes\a\a69-位1的个数.java                               | Java     |         12 |          0 |          0 |         12 |
| d:\pkr_study\08-力扣\codes\a\a70-只出现一次的数字.java                            | Java     |          9 |          0 |          0 |          9 |
| d:\pkr_study\08-力扣\codes\a\a71-回文数.java                                 | Java     |         17 |          0 |          2 |         19 |
| d:\pkr_study\08-力扣\codes\a\a72-加一.java                                  | Java     |         31 |          0 |          4 |         35 |
| d:\pkr_study\08-力扣\codes\a\a73-x的平方根.java                               | Java     |         16 |          9 |          0 |         25 |
| d:\pkr_study\08-力扣\codes\a\a74-爬楼梯.java                                 | Java     |          7 |          0 |          0 |          7 |
| d:\pkr_study\08-力扣\codes\b\b01-前缀异或数组.py                                | Python   |         20 |          1 |          6 |         27 |
| d:\pkr_study\08-力扣\codes\b\b02-查询带键的排列.py                               | Python   |         25 |          5 |          5 |         35 |
| d:\pkr_study\08-力扣\codes\b\b03-链表两数相加.py                                | Python   |         45 |          1 |         12 |         58 |
| d:\pkr_study\08-力扣\codes\b\b04-无重复字符的最长子串.py                            | Python   |         36 |         19 |          5 |         60 |
| d:\pkr_study\08-力扣\codes\b\b05-元素集合的全排列.py                              | Python   |         25 |          3 |          7 |         35 |
| d:\pkr_study\08-力扣\codes\b\b06-计数质数.py                                  | Python   |         23 |         26 |          5 |         54 |
| d:\pkr_study\08-力扣\codes\b\b07-打印二叉树.py                                 | Python   |         33 |          1 |          8 |         42 |
| d:\pkr_study\08-力扣\codes\b\b08-剪绳子.py                                   | Python   |         37 |          0 |          9 |         46 |
| d:\pkr_study\08-力扣\codes\b\b09-找出给定方程的正整数解.py                           | Python   |         28 |          3 |          3 |         34 |
| d:\pkr_study\08-力扣\codes\b\b10-平衡二叉搜索树.py                               | Python   |         87 |         11 |         17 |        115 |
| d:\pkr_study\08-力扣\codes\b\b100-旋转链表.py                                 | Python   |         24 |         28 |         14 |         66 |
| d:\pkr_study\08-力扣\codes\b\b101-分隔链表.py                                 | Python   |         26 |         26 |         10 |         62 |
| d:\pkr_study\08-力扣\codes\b\b102-LRU 缓存.py                               | Python   |         50 |          8 |         10 |         68 |
| d:\pkr_study\08-力扣\codes\b\b103-从前序与中序遍历序列构造二叉树.py                      | Python   |         20 |          1 |          3 |         24 |
| d:\pkr_study\08-力扣\codes\b\b104-从中序与后序遍历序列构造二叉树.py                      | Python   |         20 |          1 |          3 |         24 |
| d:\pkr_study\08-力扣\codes\b\b105-填充每个节点的下一个右侧节点指针II.py                   | Python   |         28 |          1 |          5 |         34 |
| d:\pkr_study\08-力扣\codes\b\b106-二叉树展开为链表.py                             | Python   |         21 |          1 |          8 |         30 |
| d:\pkr_study\08-力扣\codes\b\b107-求根节点到叶节点数字之和.py                         | Python   |         23 |          1 |          5 |         29 |
| d:\pkr_study\08-力扣\codes\b\b108-二叉搜索树迭代器.py                             | Python   |         27 |         39 |         12 |         78 |
| d:\pkr_study\08-力扣\codes\b\b109-二叉树的最近公共祖先.py                           | Python   |         20 |          1 |          3 |         24 |
| d:\pkr_study\08-力扣\codes\b\b11-最长数对链.py                                 | Python   |         26 |          9 |          6 |         41 |
| d:\pkr_study\08-力扣\codes\b\b110-长度最小的子数组.py                             | Python   |         24 |         20 |          6 |         50 |
| d:\pkr_study\08-力扣\codes\b\b111-无重复字符的最长子串.py                           | Python   |         30 |          2 |          5 |         37 |
| d:\pkr_study\08-力扣\codes\b\b112-有效的数独.py                                | Python   |         39 |         19 |         10 |         68 |
| d:\pkr_study\08-力扣\codes\b\b113-螺旋矩阵.py                                 | Python   |         42 |          3 |          8 |         53 |
| d:\pkr_study\08-力扣\codes\b\b114-旋转图像.py                                 | Python   |         18 |          3 |          5 |         26 |
| d:\pkr_study\08-力扣\codes\b\b115-矩阵置零.py                                 | Python   |         22 |          2 |          5 |         29 |
| d:\pkr_study\08-力扣\codes\b\b116-生命游戏.py                                 | Python   |         56 |          1 |          6 |         63 |
| d:\pkr_study\08-力扣\codes\b\b117-字母异位词分组.py                              | Python   |         19 |          1 |          5 |         25 |
| d:\pkr_study\08-力扣\codes\b\b118-最长连续序列.py                               | Python   |         22 |          1 |          3 |         26 |
| d:\pkr_study\08-力扣\codes\b\b119-合并区间.py                                 | Python   |         25 |         14 |          4 |         43 |
| d:\pkr_study\08-力扣\codes\b\b12-到达首都油耗.py                                | Python   |         42 |          2 |          7 |         51 |
| d:\pkr_study\08-力扣\codes\b\b120-插入区间.py                                 | Python   |         26 |          1 |          3 |         30 |
| d:\pkr_study\08-力扣\codes\b\b121-用最少数量的箭引爆气球.py                          | Python   |         34 |          1 |          4 |         39 |
| d:\pkr_study\08-力扣\codes\b\b122-二叉树的右视图.py                              | Python   |         26 |          1 |          3 |         30 |
| d:\pkr_study\08-力扣\codes\b\b123-二叉树的层序遍历.py                             | Python   |         30 |          2 |          3 |         35 |
| d:\pkr_study\08-力扣\codes\b\b124-二叉树的锯齿形层序遍历.py                          | Python   |         33 |          1 |          3 |         37 |
| d:\pkr_study\08-力扣\codes\b\b125-简化路径.py                                 | Python   |         21 |          2 |          3 |         26 |
| d:\pkr_study\08-力扣\codes\b\b126-最小栈.py                                  | Python   |         42 |          5 |          8 |         55 |
| d:\pkr_study\08-力扣\codes\b\b127-逆波兰表达式求值.py                             | Python   |         22 |          1 |          3 |         26 |
| d:\pkr_study\08-力扣\codes\b\b128-二叉搜索树中第 K 小的元素.py                       | Python   |         30 |          1 |          4 |         35 |
| d:\pkr_study\08-力扣\codes\b\b129-验证二叉搜索树.py                              | Python   |         20 |         19 |          6 |         45 |
| d:\pkr_study\08-力扣\codes\b\b13-判断二分图.py                                 | Python   |         46 |          0 |          7 |         53 |
| d:\pkr_study\08-力扣\codes\b\b130-岛屿数量.py                                 | Python   |         32 |          1 |          5 |         38 |
| d:\pkr_study\08-力扣\codes\b\b131-被围绕的区域.py                               | Python   |         45 |          1 |          6 |         52 |
| d:\pkr_study\08-力扣\codes\b\b132-克隆图.py                                  | Python   |         28 |          2 |          6 |         36 |
| d:\pkr_study\08-力扣\codes\b\b133-除法求值.py                                 | Python   |         85 |          2 |          8 |         95 |
| d:\pkr_study\08-力扣\codes\b\b134-课程表.py                                  | Python   |         33 |          1 |          6 |         40 |
| d:\pkr_study\08-力扣\codes\b\b135-课程表II.py                                | Python   |         27 |          1 |          4 |         32 |
| d:\pkr_study\08-力扣\codes\b\b136-蛇梯棋.py                                  | Python   |         38 |         19 |         10 |         67 |
| d:\pkr_study\08-力扣\codes\b\b137-最小基因变化.py                               | Python   |         33 |          1 |          4 |         38 |
| d:\pkr_study\08-力扣\codes\b\b138-实现Trie前缀树.java                          | Java     |         56 |          5 |          9 |         70 |
| d:\pkr_study\08-力扣\codes\b\b139-添加与搜索单词-数据结构设计.java                     | Java     |         45 |          0 |          7 |         52 |
| d:\pkr_study\08-力扣\codes\b\b14-最大正方形.py                                 | Python   |         40 |         19 |          9 |         68 |
| d:\pkr_study\08-力扣\codes\b\b140-电话号码的字母组合.java                          | Java     |         42 |          9 |          5 |         56 |
| d:\pkr_study\08-力扣\codes\b\b141-组合.java                                 | Java     |         26 |          0 |          5 |         31 |
| d:\pkr_study\08-力扣\codes\b\b142-全排列.java                                | Java     |         32 |          0 |          4 |         36 |
| d:\pkr_study\08-力扣\codes\b\b143-组合总和.java                               | Java     |         31 |          0 |          5 |         36 |
| d:\pkr_study\08-力扣\codes\b\b144-括号生成.java                               | Java     |         34 |         16 |          5 |         55 |
| d:\pkr_study\08-力扣\codes\b\b145-单词搜索.java                               | Java     |         43 |          1 |          4 |         48 |
| d:\pkr_study\08-力扣\codes\b\b146-排序链表.java                               | Java     |         71 |         10 |          8 |         89 |
| d:\pkr_study\08-力扣\codes\b\b147-建立四叉树.java                              | Java     |         61 |          2 |          7 |         70 |
